Bee_ID,Species,Sex,Colony,Wing,Date_removed_from_fridge,Emerge_start_date,Treatment,No_pollen_spp,Pollen_comp,Dead,Death_date,Notes,Days_til_dead,Age
137,M. rotundata,F,NA,0.157,,9/16/21,2-D,2,Dandelion + Sumac,0,,,7,
138,M. rotundata,F,NA,0.14,,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
139,M. rotundata,F,NA,0.144,,9/16/21,1-B,1,Sumac,0,,,7,
140,M. rotundata,F,NA,0.135,,9/16/21,2-E,2,Dandelion + Hawthorn,0,,,7,
141,M. rotundata,F,NA,0.139,,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
142,M. rotundata,F,NA,0.145,,9/16/21,1-C,1,Hawthorn,0,,,7,
143,M. rotundata,F,NA,0.131,,9/16/21,2-F,2,Sumac + Hawthorn,0,,,7,
144,M. rotundata,F,NA,0.137,,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
145,M. rotundata,F,NA,0.14,,9/16/21,1-A,1,Dandelion,0,,,7,
146,M. rotundata,F,NA,0.15,,9/16/21,2-D,2,Dandelion + Sumac,0,,,7,
147,M. rotundata,F,NA,0.142,,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
148,M. rotundata,F,NA,0.142,,9/16/21,1-B,1,Sumac,0,,,7,
149,M. rotundata,F,NA,0.147,,9/16/21,2-E,2,Dandelion + Hawthorn,1,9/23/21,,7,
150,M. rotundata,F,NA,0.141,,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
151,M. rotundata,F,NA,0.144,,9/16/21,1-C,1,Hawthorn,0,,,7,
152,M. rotundata,F,NA,0.129,,9/16/21,2-F,2,Sumac + Hawthorn,0,,,7,
153,M. rotundata,F,NA,0.14,,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
154,M. rotundata,F,NA,0.149,,9/16/21,1-A,1,Dandelion,0,,,7,
155,M. rotundata,F,NA,0.129,,9/16/21,2-D,2,Dandelion + Sumac,0,,,7,
156,M. rotundata,F,NA,0.143,,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
157,M. rotundata,F,NA,0.147,,9/16/21,1-B,1,Sumac,0,,,7,
158,M. rotundata,F,NA,0.138,,9/16/21,2-E,2,Dandelion + Hawthorn,0,,,7,
159,M. rotundata,F,NA,0.144,,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
160,M. rotundata,F,NA,0.135,,9/16/21,1-C,1,Hawthorn,0,,,7,
161,M. rotundata,F,NA,0.138,,9/16/21,2-F,2,Sumac + Hawthorn,0,,,7,
162,M. rotundata,F,NA,0.14,,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
163,M. rotundata,F,NA,0.135,,9/16/21,1-A,1,Dandelion,0,,,7,
164,M. rotundata,F,NA,0.152,,9/16/21,2-D,2,Dandelion + Sumac,0,,,7,
