sample-id	Bee_ID	index	host	diet	plate	Species	Sex	Colony	Wing	Date_removed_from_fridge	Emerge_start_date	Treatment	No_pollen_spp	Pollen_comp	Dead	Death_date	Notes	Age	diet_initials
lab-p3-sample-144	144	lab.p3.sample.144	M. rotundata	Dandelion + Sumac + Hawthorn	3	M. rotundata	FALSE	NA	0.137	NA	9/16/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	NA	NA	D + S + H
lab-p3-sample-145	145	lab.p3.sample.145	M. rotundata	Dandelion	3	M. rotundata	FALSE	NA	0.14	NA	9/16/21	1-A	1	Dandelion	NA	NA	NA	NA	D
lab-p3-sample-146	146	lab.p3.sample.146	M. rotundata	Dandelion + Sumac	3	M. rotundata	FALSE	NA	0.15	NA	9/16/21	2-D	2	Dandelion + Sumac	NA	NA	NA	NA	D + S
lab-p3-sample-147	147	lab.p3.sample.147	M. rotundata	Dandelion + Sumac + Hawthorn	3	M. rotundata	FALSE	NA	0.142	NA	9/16/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	NA	NA	D + S + H
lab-p3-sample-148	148	lab.p3.sample.148	M. rotundata	Sumac	3	M. rotundata	FALSE	NA	0.142	NA	9/16/21	1-B	1	Sumac	NA	NA	NA	NA	S
lab-p3-sample-150	150	lab.p3.sample.150	M. rotundata	Dandelion + Sumac + Hawthorn	3	M. rotundata	FALSE	NA	0.141	NA	9/16/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	NA	NA	D + S + H
lab-p2-sample-151	151	lab.p2.sample.151	M. rotundata	Hawthorn	2	M. rotundata	FALSE	NA	0.144	NA	9/16/21	1-C	1	Hawthorn	NA	NA	NA	NA	H
lab-p2-sample-152	152	lab.p2.sample.152	M. rotundata	Sumac + Hawthorn	2	M. rotundata	FALSE	NA	0.129	NA	9/16/21	2-F	2	Sumac + Hawthorn	NA	NA	NA	NA	S + H
lab-p2-sample-153	153	lab.p2.sample.153	M. rotundata	Dandelion + Sumac + Hawthorn	2	M. rotundata	FALSE	NA	0.14	NA	9/16/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	NA	NA	D + S + H
lab-p2-sample-154	154	lab.p2.sample.154	M. rotundata	Dandelion	2	M. rotundata	FALSE	NA	0.149	NA	9/16/21	1-A	1	Dandelion	NA	NA	NA	NA	D
lab-p2-sample-155	155	lab.p2.sample.155	M. rotundata	Dandelion + Sumac	2	M. rotundata	FALSE	NA	0.129	NA	9/16/21	2-D	2	Dandelion + Sumac	NA	NA	NA	NA	D + S
lab-p2-sample-156	156	lab.p2.sample.156	M. rotundata	Dandelion + Sumac + Hawthorn	2	M. rotundata	FALSE	NA	0.143	NA	9/16/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	NA	NA	D + S + H
lab-p2-sample-157	157	lab.p2.sample.157	M. rotundata	Sumac	2	M. rotundata	FALSE	NA	0.147	NA	9/16/21	1-B	1	Sumac	NA	NA	NA	NA	S
lab-p2-sample-159	159	lab.p2.sample.159	M. rotundata	Dandelion + Sumac + Hawthorn	2	M. rotundata	FALSE	NA	0.144	NA	9/16/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	NA	NA	D + S + H
lab-p2-sample-160	160	lab.p2.sample.160	M. rotundata	Hawthorn	2	M. rotundata	FALSE	NA	0.135	NA	9/16/21	1-C	1	Hawthorn	NA	NA	NA	NA	H
lab-p2-sample-161	161	lab.p2.sample.161	M. rotundata	Sumac + Hawthorn	2	M. rotundata	FALSE	NA	0.138	NA	9/16/21	2-F	2	Sumac + Hawthorn	NA	NA	NA	NA	S + H
lab-p2-sample-162	162	lab.p2.sample.162	M. rotundata	Dandelion + Sumac + Hawthorn	2	M. rotundata	FALSE	NA	0.14	NA	9/16/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	NA	NA	D + S + H
lab-p2-sample-163	163	lab.p2.sample.163	M. rotundata	Dandelion	2	M. rotundata	FALSE	NA	0.135	NA	9/16/21	1-A	1	Dandelion	NA	NA	NA	NA	D
lab-p2-sample-164	164	lab.p2.sample.164	M. rotundata	Dandelion + Sumac	2	M. rotundata	FALSE	NA	0.152	NA	9/16/21	2-D	2	Dandelion + Sumac	NA	NA	NA	NA	D + S
