sample-id	Bee_ID	index	host	diet	plate	Species	Sex	Colony	Wing	Date_removed_from_fridge	Emerge_start_date	Treatment	No_pollen_spp	Pollen_comp	Dead	Death_date	Notes	Age	diet_initials
lab-p1-sample-39	39	lab.p1.sample.39	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	8	0.272	NA	8/17/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	callow, 10 ul of feces	callow	D + S + H
lab-p1-sample-40	40	lab.p1.sample.40	B. impatiens	Sumac	1	B. impatiens	FALSE	9	0.213	NA	8/18/21	1-B	1	Sumac	NA	NA	callow, 10 ul of feces	callow	S
lab-p1-sample-41	41	lab.p1.sample.41	B. impatiens	Dandelion + Hawthorn	1	B. impatiens	FALSE	9	0.204	NA	8/18/21	2-E	2	Dandelion + Hawthorn	NA	NA	callow, 10 ul of feces	callow	D + H
lab-p1-sample-42	42	lab.p1.sample.42	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	9	0.185	NA	8/18/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	callow, 10 ul of feces	callow	D + S + H
lab-p1-sample-43	43	lab.p1.sample.43	B. impatiens	Hawthorn	1	B. impatiens	FALSE	3	0.246	NA	8/18/21	1-C	1	Hawthorn	NA	NA	callow, 10 ul of feces	callow	H
lab-p1-sample-44	44	lab.p1.sample.44	B. impatiens	Sumac + Hawthorn	1	B. impatiens	FALSE	8	0.236	NA	8/19/21	2-F	2	Sumac + Hawthorn	NA	NA	callow, 10 ul of feces	callow	S + H
lab-p1-sample-45	45	lab.p1.sample.45	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	37	0.202	NA	8/19/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	callow, 10 ul of feces	callow	D + S + H
lab-p1-sample-46	46	lab.p1.sample.46	B. impatiens	Dandelion	1	B. impatiens	FALSE	37	0.217	NA	8/19/21	1-A	1	Dandelion	NA	NA	callow, 10 ul of feces	callow	D
lab-p1-sample-47	47	lab.p1.sample.47	B. impatiens	Dandelion + Sumac	1	B. impatiens	FALSE	9	0.259	NA	8/23/21	2-D	2	Dandelion + Sumac	NA	NA	callow, 15 ul of feces	callow	D + S
lab-p1-sample-48	48	lab.p1.sample.48	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	9	0.27	NA	8/23/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	callow, 15 ul of feces, ignore the whiteout on the thorax, it was a callow	callow	D + S + H
lab-p1-sample-49	49	lab.p1.sample.49	B. impatiens	Sumac	1	B. impatiens	FALSE	9	0.281	NA	8/23/21	1-B	1	Sumac	NA	NA	callow, 15 ul of feces	callow	S
lab-p1-sample-50	50	lab.p1.sample.50	B. impatiens	Dandelion + Hawthorn	1	B. impatiens	FALSE	9	0.213	NA	8/23/21	2-E	2	Dandelion + Hawthorn	NA	NA	callow, 15 ul of feces	callow	D + H
